id, title, cycle, startTime, duration, outcome
docker_plugin_finalize,"Validate docker plugin finalize command",1,2022-05-03 08:46:59,34.9,PASSED 
docker_plugin_install,"Validate docker plugin install",1,2022-05-03 08:47:34,38.32,PASSED 
docker_plugin_install_with_version,"Validate docker plugin install",1,2022-05-03 08:48:12,33.24,PASSED 
docker_plugin_remove,"Validate docker plugin remove",1,2022-05-03 08:48:45,34.32,PASSED 
docker_plugin_remove_with_version,"Validate docker plugin remove with version",1,2022-05-03 08:49:20,35.1,PASSED 
docker_plugin_update,"Validate docker plugin install updates existing containers",1,2022-05-03 08:49:55,64.94,PASSED 
SoftwareManagement.sm_docker_install_remove_multiple,"Validate end to end behaviour for the docker plugin for multiple docker images with mixed versions",1,2022-05-03 08:51:00,159.78,PASSED 



